epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,865.252,0.9689,0.96218,0.99946,0.12619,0.000175191,0.000175191,0.000175191
2,1710.24,0.25508,0.97837,0.99973,0.06886,0.00032739,0.00032739,0.00032739
3,2637.14,0.20719,0.97959,0.99959,0.0597,0.000456445,0.000456445,0.000456445
4,3576.79,0.17181,0.98327,0.99986,0.05261,0.000421852,0.000421852,0.000421852
5,4414.07,0.1381,0.9883,0.99986,0.03671,0.000387136,0.000387136,0.000387136
6,5240.03,0.11922,0.99143,0.99986,0.02634,0.00035242,0.00035242,0.00035242
7,6112.91,0.09519,0.99361,0.99986,0.02228,0.000317704,0.000317704,0.000317704
8,6999.49,0.08382,0.99592,0.99986,0.01457,0.000282988,0.000282988,0.000282988
9,7990.1,0.07568,0.9966,0.99986,0.01359,0.000248272,0.000248272,0.000248272
10,13770.2,0.05792,0.99782,1,0.00761,0.000213556,0.000213556,0.000213556
11,14712.6,0.05117,0.99878,0.99986,0.00707,0.00017884,0.00017884,0.00017884
12,15582.3,0.04756,0.9981,0.99986,0.00744,0.000144124,0.000144124,0.000144124
13,16390.5,0.03893,0.9985,0.99986,0.00593,0.000109408,0.000109408,0.000109408
14,17456,0.03122,0.99932,0.99986,0.00514,7.4692e-05,7.4692e-05,7.4692e-05
15,18257.7,0.033,0.99946,0.99986,0.00458,3.9976e-05,3.9976e-05,3.9976e-05
