epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,729.814,1.0379,0.95186,0.99927,0.14989,0.000175163,0.000175163,0.000175163
2,1451.85,0.2694,0.97363,1,0.08187,0.000327364,0.000327364,0.000327364
3,2162.69,0.21562,0.97992,0.99952,0.06106,0.000456421,0.000456421,0.000456421
4,2861.29,0.19118,0.97,0.99976,0.08074,0.000421852,0.000421852,0.000421852
5,3563.72,0.14759,0.98331,0.99976,0.04752,0.000387136,0.000387136,0.000387136
6,4273.52,0.11931,0.98113,0.99976,0.05045,0.00035242,0.00035242,0.00035242
7,4978.51,0.10026,0.98524,0.99952,0.03953,0.000317704,0.000317704,0.000317704
8,5677.65,0.08783,0.99032,0.99952,0.03035,0.000282988,0.000282988,0.000282988
9,6351.84,0.07187,0.99153,1,0.02343,0.000248272,0.000248272,0.000248272
10,7033.62,0.06764,0.9925,1,0.02127,0.000213556,0.000213556,0.000213556
11,8168.96,0.06157,0.99492,0.99976,0.02039,0.00017884,0.00017884,0.00017884
12,11769.6,0.04833,0.99419,1,0.01924,0.000144124,0.000144124,0.000144124
13,12651.8,0.03964,0.99516,0.99976,0.01787,0.000109408,0.000109408,0.000109408
14,13472.1,0.03828,0.99637,0.99976,0.0125,7.4692e-05,7.4692e-05,7.4692e-05
15,14284.3,0.03432,0.99589,1,0.01266,3.9976e-05,3.9976e-05,3.9976e-05
